"unit_id","billing_period","current_reading","previous_reading"
"101","2026-04-01","668.78","657.97"
"102","2026-04-01","794.28","783"
"103","2026-04-01","740.3","733.05"
"104","2026-04-01","922.26","906.83"
"105","2026-04-01","371.75","367.81"
"201","2026-04-01","862.79","849.58"
"202","2026-04-01","1180.36","1161.35"
"203","2026-04-01","349.15","343.91"
"204","2026-04-01","1078.13","1059.15"
"205","2026-04-01","1408.46","1384.93"
"601","2026-04-01","1380.89","1337.69"
"Ayron","2026-04-01","79.232","72.71"
